"Var Name","Mean","CI lower","CI upper","Weighted Mean","WM CI lower","WM CI upper","Obs"
"All Data",-0.399,-1.352,0.554,-0.418,-1.371,0.535,4448
"Number of observatons >= 600",-0.389,-1.293,0.515,-0.429,-1.333,0.475,2266
"Number of observatons < 600",-0.411,-1.413,0.591,-0.411,-1.413,0.591,2182
"T-statistic of the estimate >= -2.653",-0.23,-1.09,0.63,-0.232,-1.092,0.628,2224
"T-statistic of the estimate < -2.653",-0.569,-1.494,0.356,-0.563,-1.488,0.362,2224
"Estimate: Short run",-0.233,-0.833,0.367,-0.244,-0.844,0.356,1784
"Estimate: Intermediate run",-0.502,-1.531,0.527,-0.495,-1.524,0.534,1852
"Estimate: Long run",-0.532,-1.702,0.638,-0.624,-1.794,0.546,813
"Mid year of the dataset >= 1983.812",-0.382,-1.311,0.547,-0.43,-1.359,0.499,2224
"Mid year of the dataset < 1983.812",-0.416,-1.39,0.558,-0.406,-1.38,0.568,2224
"Number of years >= 15",-0.32,-1.186,0.546,-0.351,-1.217,0.515,2254
"Number of years < 15",-0.481,-1.49,0.528,-0.478,-1.487,0.531,2194
"USA",-0.397,-1.299,0.505,-0.39,-1.292,0.512,2124
"Europe",-0.41,-1.396,0.576,-0.431,-1.417,0.555,833
"Other location",-0.399,-1.393,0.595,-0.428,-1.422,0.566,1552
"Daylight hours >= 14.767",-0.388,-1.339,0.563,-0.405,-1.356,0.546,3073
"Daylight hours < 14.767",-0.425,-1.38,0.53,-0.435,-1.39,0.52,1375
"Annual temperature >= 9.146",-0.36,-1.25,0.53,-0.384,-1.274,0.506,2242
"Annual temperature < 9.146",-0.44,-1.447,0.567,-0.461,-1.468,0.546,2206
"Export value dummy",-0.401,-1.35,0.548,-0.431,-1.38,0.518,3701
"Carbon intensity >= 6.113",-0.399,-1.34,0.542,-0.399,-1.34,0.542,3236
"Carbon intensity < 6.113",-0.4,-1.382,0.582,-0.463,-1.445,0.519,1212
